n_est,max_depth,lambda,learning_rate,missing,objective,accuracy
200,4,2,0.25,0,binary:hinge,0.8440772738328848
200,4,2,0.25,0,binary:logitraw,0.8428794823031448
250,2,0.5,0.15,nan,binary:logistic,0.8484998131809225
250,2,0.5,0.15,nan,binary:hinge,0.827462461550078
250,2,0.5,0.15,nan,binary:logitraw,0.8426338339346627
250,2,0.5,0.15,0,binary:logistic,0.8484998131809225
250,2,0.5,0.15,0,binary:hinge,0.827462461550078
250,2,0.5,0.15,0,binary:logitraw,0.8426338339346627
250,2,0.5,0.2,nan,binary:logistic,0.84963616078451
250,2,0.5,0.2,nan,binary:hinge,0.8377507367908873
250,2,0.5,0.2,nan,binary:logitraw,0.8431866283619222
250,2,0.5,0.2,0,binary:logistic,0.84963616078451
250,2,0.5,0.2,0,binary:hinge,0.8377507367908873
250,2,0.5,0.2,0,binary:logitraw,0.8431866283619222
250,2,0.5,0.25,nan,binary:logistic,0.8500353680339222
250,2,0.5,0.25,nan,binary:hinge,0.8404839813047248
250,2,0.5,0.25,nan,binary:logitraw,0.8436780297974802
250,2,0.5,0.25,0,binary:logistic,0.8500353680339222
250,2,0.5,0.25,0,binary:hinge,0.8404839813047248
250,2,0.5,0.25,0,binary:logitraw,0.8436780297974802
250,2,1,0.15,nan,binary:logistic,0.848254116707681
250,2,1,0.15,nan,binary:hinge,0.8281995056947348
250,2,1,0.15,nan,binary:logitraw,0.8428487914666775
250,2,1,0.15,0,binary:logistic,0.848254116707681
250,2,1,0.15,0,binary:hinge,0.8281995056947348
250,2,1,0.15,0,binary:logitraw,0.8428487914666775
250,2,1,0.2,nan,binary:logistic,0.8492983267189572
250,2,1,0.2,nan,binary:hinge,0.8366451818926691
250,2,1,0.2,nan,binary:logitraw,0.843155903569154
250,2,1,0.2,0,binary:logistic,0.8492983267189572
250,2,1,0.2,0,binary:hinge,0.8366451818926691
250,2,1,0.2,0,binary:logitraw,0.843155903569154
250,2,1,0.25,nan,binary:logistic,0.8502196573670037
250,2,1,0.25,nan,binary:hinge,0.8411597116890485
250,2,1,0.25,nan,binary:logitraw,0.8438008469074919
250,2,1,0.25,0,binary:logistic,0.8502196573670037
